Team,Played,Goal Difference,Points,League Point
Ajax,14,42,34,39.2
Atalanta,13,8,22,75.438
Atlético,14,22,35,97.855
Barcelona,15,14,25,97.855
Bayern,13,20,30,73.57
Chelsea,16,13,26,100.569
Club Brugge,19,26,39,36.5
Dortmund,13,8,22,73.57
Dynamo Kyiv,13,15,30,33.1
Ferencváros,14,24,38,15.5
Internazionale,14,17,33,75.438
Istanbul Basaksehir,14,-3,16,30.1
Juventus,13,12,24,75.438
Krasnodar,19,16,30,38.382
Lazio,14,-1,21,75.438
Leipzig,13,15,28,73.57
Liverpool,16,17,33,100.569
Lokomotiv Moskva,19,-4,28,38.382
Man. City,14,9,26,100.569
Man. United,16,9,33,100.569
Marseille,15,7,28,56.081
Midtjylland,13,9,27,27.875
Mönchengladbach,13,2,18,73.57
Olympiacos,12,28,32,26
Paris,17,29,35,56.081
Porto,11,13,25,48.549
Real Madrid,16,13,33,97.855
Rennes,17,7,31,56.081
Salzburg,12,24,25,35.825
Sevilla,14,7,26,97.855
Shakhtar Donetsk,13,22,29,33.1
Zenit,19,28,42,38.382
